concept	182 0
fol-	45 0
along	248.9 344.1
convert	69.98 0.02
generalizing	77 0
resulting	570.56 219.44
fourier	104.38 0.62
serf-organizing	4 0
correla-	0 24
composed	54.86 182.14
tasks	169.24 171.76
addresses	63.36 27.64
spatio-temporal	0 41
logical	0 93
additive	191 0
remains	189.48 120.52
pseudo-inverse	15.98 0.02
calculation	205 0
examination	0 63
doubling	0.02 30.98
leaky	0 20
selects	96 0
operators	60.42 0.58
tested	210.72 268.28
known	597.62 226.38
theories	0 87
reviews	0 28
labeled	198 0
nine	0.04 71.96
numbers	293.62 73.38
thresholding	0 64
refine	0 35
needs	194.66 43.34
recursive	104 0
imminent	0 6
discussion	420.88 254.12
classify	194 0
classifying	89.98 0.02
derived	417.86 94.14
regularization	134 0
applications	483.92 12.08
preprocessing	0.08 95.92
multiplication	29.32 48.68
minimizes	212 0
data	800.12 452.88
lar	0 39
fo	0.04 43.96
robot	0.02 120.98
perceptton	87.98 0.02
q	327 0
rectifying	0 12
operations	95.46 91.54
interpretation	218 0
developed	238.94 327.06
pointed	91 0
flips	20 0
wiener	0 12
filters	0.34 141.66
terns	0 41
suffer	71 0
ieee	653.46 139.54
late	64 0
detected	0 120
covered	53.26 11.74
spario-temporal	0.02 17.98
net-	336.54 59.46
affected	0.08 108.92
yl	24 10
kohonen	0 57
band	0 62
multidimensional	83 0
realize	0 77
bank	0 45
arrows	0 59
acoustic	0.6 97.4
traces	71 0
schemes	111.56 48.44
formulate	78.98 0.02
society	93.44 84.56
static	0.1 168.9
laboratory	0 240
operation	0.08 301.92
nonlinearities	0.14 57.86
regularizes	2.3 2.7
replacing	115 0
investigation	105 0
reformulation	15 0
reformulated	19.98 0.02
lms	40 0
connec-	0.06 88.94
ill-	12 0
besides	70 0
ill-conditioned	7 0
bition	0 6
created	0.82 161.18
transition	205.18 68.82
filter	0 241
fc	0 16
xi	189 0
saving	19.92 0.08
parems	4.98 0.02
synthesize	0 24
array	0 205
indicate	214.72 245.28
construct	333.58 6.42
calculations	125.94 0.06
siam	48 0
academy	0 70
target	282.58 205.42
showed	153.04 170.96
limiting	105 0
perfor-	110.96 0.04
tion	492.42 281.58
interactive	0 51
false	0.06 86.94
generalization	520 0
conjugate	110 0
sensorimotor	0 28
forced	86 0
mapping	378.3 44.7
generalized	290.92 0.08
calculus	23.96 0.04
shastri	0 5
buffer	0 35
inant	0.14 4.86
clean	0.28 46.72
lated	48.94 9.06
labels	148.96 0.04
converge	293 0
padded	7 0
dividing	47.22 50.78
nervous	0.1 136.9
explicitly	249.38 49.62
thresholds	39.52 84.48
convolving	0.2 29.8
prob-	211.58 0.42
correctly	200.58 92.42
stop	0.06 117.94
sign-bit	0.58 1.42
ones	171.18 54.82
ninth	34 0
dx	49 0
mcculloch	0.08 14.92
analytical	123 0
ence	0 77
national	192.18 159.82
detection	0.04 224.96
uncorrelated	86.96 0.04
equa-	56 0
cooperation	0.04 26.96
ings	41 0
phoneroes	8.74 3.26
statistically	149.98 0.02
importance	131.32 69.68
spartan	9.82 0.18
poral	0 31
responded	0.02 30.98
flipped	9.9 0.1
propagation	121 142
learn-	181 0
spario-	0 5
filtering	0.02 145.98
sigmoidal	204 0
func-	221.08 0.92
adaptation	0 185
cr	94.18 0.82
ct	119 0
kernels	85.98 0.02
activa-	0 36
computing	515.98 0.02
calcu-	17.26 0.74
kronecker	27 0
flexible	114 0
prototype	6.96 76.04
mance	96.9 0.1
digits	89.96 0.04
spatio-	0 7
sufficient	288.72 113.28
moore-penrose	10 0
careful	79 0
coordination	0 32
present	547.26 382.74
tank	0.02 36.98
replaced	224 0
ful	0.02 10.98
yi	147 0
memoryless	26.96 0.04
iv	55.94 0.06
seem	132.74 80.26
combination	305.62 116.38
sensitive	0 281
lengths	77.82 0.18
ele-	0 17
speech	230.92 94.08
schematic	0 117
higher	276.26 376.74
cubic	29 0
lowing	3.86 27.14
numerical	296 0
vowel	0.02 60.98
intervals	38.72 100.28
academic	118.16 87.84
alleviate	13 0
simulated	0 357
observed	280.38 326.62
dose	5 0
transforms	0 82
alternative	369.76 1.24
yet	114.1 242.9
convolution	0 73
improvement	312.94 0.06
signals	0 389
confer-	14.26 6.74
eigenvalue	90.94 0.06
bands	0.02 44.98
posed	79.86 14.14
early	0.06 334.94
amari	33.96 0.04
prominent	0 45
englewood	51.82 0.18
translated	60 0
eeg	0 40
mathematical	197.76 114.24
lateral	0 180
classical	161.6 42.4
sequence	433.06 98.94
provided	291.32 258.68
scale	150.62 257.38
memories	0 87
ill-posed	30 0
extensively	38.02 60.98
simu-	0 30
critical	73.72 213.28
connecting	32.72 94.28
linearly	242.58 43.42
minimization	175 0
real-world	161.3 0.7
journal	310.02 162.98
self-organization	1.08 89.92
popular	143 0
noisy	305 0
chapter	44.94 26.06
recognized	0 119
practical	413 0
duda	32 0
image	0.02 454.98
washington	0.02 46.98
inhi-	0.02 8.98
recognize	3.28 191.72
operator	145.5 1.5
additions	13 0
transform	96.12 103.88
pronunciation	0.02 7.98
tem-	0 51
k-th	33.96 0.04
assumes	159.2 47.8
synthesis	0 64
hz	0 88
repeated	167.4 79.6
delta	129 0
applying	348 0
flip	22.54 0.46
bio-	0 23
record	0.02 68.98
converted	0 84
assp	0.04 25.96
multiplications	19 0
am	30.28 49.72
phoneme	0 83
relates	73.6 0.4
ing	495.06 256.94
check	87.98 0.02
constructed	160.26 176.74
formant	0.76 30.24
application	628 0
falsely	0.02 6.98
concerning	85.34 50.66
node	304 0
proceed-	30 0
calculating	141 0
variation	80.94 167.06
helpful	187.9 64.1
acoustical	0 29
included	78.82 165.18
seismic	4 0
missed	0.56 18.44
faster	292.96 7.04
pseudo	19.92 0.08
notion	196 0
portion	0.12 163.88
back-	0 125
original	457.6 110.4
discrim-	16.92 0.08
monte	116.92 0.08
limited	210.74 281.26
activated	0 134
focus	170.06 138.94
circuitry	0.02 104.98
physiological	0 149
concerned	120.98 0.02
including	263.8 247.2
multi-layered	0.12 32.88
monotonically	93 0
nodes	302 0
presentation	53.52 122.48
resources	0 76
ingredient	17.96 0.04
fax	0 9
al-	160 0
string	0 91
geometrical	67 0
tradeoffs	13.96 0.04
worst	92 0
generalised	16 0
school	0 143
exponential	252.94 0.06
turns	145.22 3.78
standards	0 21
proposition	42 0
progress	88.92 31.08
noted	131.5 55.5
zd	4 0
mceliece	5.98 0.02
higher-order	19.72 54.28
cost	384 0
traveling	0.06 34.94
valiant	16 0
query	48.88 0.12
dynamics	135.8 298.2
odd	48.16 11.84
appear	242.64 221.36
organisms	0 18
brief	23.6 86.4
henceforth	20 0
learned	277.14 175.86
principal	137.46 74.54
contrast	118.54 200.46
subdivided	0 20
justification	56 0
degree	167.24 200.76
sig-	31 47
behaviour	108 0
others	106.86 126.14
involved	0 211
spin	41 0
implement	134.3 150.7
adjustable	48.52 55.48
followed	99.48 207.52
scales	72.42 121.58
requiring	141.7 33.3
rela-	0 38
readily	95.18 57.82
contains	260.38 253.62
comparing	261 0
iteratively	97 0
theoretical	424.2 62.8
minor	68 0
higher-	0 17
separates	47 0
clearly	259.08 106.92
validity	66.5 0.5
glass	38.9 2.1
feed-forward	102.48 70.52
varying	48.32 315.68
cardinality	31 0
analogous	110.7 86.3
pre-	76.8 130.2
characterised	0 12
per-	173.92 46.08
examined	0 145
slowness	0 3
m-set	2.26 0.74
akin	12.78 2.22
nearest	198.92 0.08
santosh	5.92 0.08
december	44 0
hyperplane	63 0
absolute	56.4 161.6
non-increasing	7 0
processors	0 61
thing	35 0
cardinal	2 0
priori	189 0
product	323.22 0.78
explores	0.84 28.16
wiley	103 0
input-output	102.42 40.58
meaningful	103.86 0.14
efficiently	208 0
natural	423.78 132.22
dynamical	136.78 114.22
ho-	1.98 3.02
asserts	14.96 0.04
taneous	0 10
the-	44.96 0.04
evolutionary	0 26
hierarchy	0.02 66.98
interpreted	194.5 54.5
course	88.44 151.56
thesis	23 0
monotonicity	16.92 0.08
la	0 183
attraction	55.98 0.02
degrees	62.24 133.76
choose	438 0
maximal	174.24 1.76
seeking	23.96 0.04
questions	103.74 13.26
amenable	47.06 1.94
stant	0 19
gate	4.74 118.26
discuss	287.98 0.02
hamiltonian	22 0
identified	0.02 202.98
capability	0 107
iff	43 0
mode	0 161
found	582.14 402.86
repeating	36 0
constraints	298.8 119.2
domain	296.16 6.84
vanishingly	9.98 0.02
energy	174.3 132.7
programmed	0 42
literature	165.92 0.08
approximated	247.94 0.06
salesman	22.88 4.12
emerges	0 45
solved	257 0
cerebral	0.08 64.92
rn	146.9 0.1
sented	0 42
interactions	0 206
free	301 0
completely	159.48 156.52
ask	70.14 7.86
determining	164.32 105.68
inexpensive	17.74 0.26
programming	196.96 0.04
learnability	27.98 0.02
turn	123.16 180.84
incorporated	0.02 141.98
re-	311.44 176.56
think	109.22 6.78
already	252.78 79.22
pa	113.76 9.24
reaches	41.6 94.4
relations	55.34 70.66
specificity	0 51
open	129.34 70.66
tively	45 0
law	95 0
top	0.04 335.96
structured	45.42 65.58
programmable	0 45
hundred	29.84 52.16
baldi	24 0
synthetic	0.02 96.98
brains	0 18
shallow	22.98 0.02
extensions	129 0
authors	135.68 73.32
coefficients	245.86 0.14
surrounding	0 68
connectionist	232.86 113.14
require	395.4 181.6
neuron-like	0 29
gree	4.58 0.42
interac-	0.02 14.98
solely	32.2 53.8
acquisition	0 67
perspective	0.02 87.98
clas-	70 0
pretation	2.72 4.28
width	69.58 149.42
dendritic	0 56
relatively	0 412
computationally	258 0
mial	13 0
venkatesh	10 0
psaltis	8 0
hyperplanes	43 0
oriented	0 107
instance	152 0
edge	0 215
interconnection	4.22 41.78
spectral	1.9 91.1
quote	6.96 0.04
wells	0.04 6.96
mead	0 42
anatomy	0 36
algebraic	47.98 0.02
involving	206 0
orthogonally	7.98 0.02
unreasonable	16 0
traditional	184.76 36.24
points	659.3 52.7
propos	2 0
minimal	256.98 0.02
precise	70.32 101.68
selection	302 0
characterisation	1.52 1.48
favour	0.1 10.9
halting	8 0
executed	41.76 10.24
hypercube	21.14 22.86
ground	70.38 0.62
computability	4.94 0.06
slow	41.76 170.24
situations	150 0
assertion	0 10
analytic	92.26 18.74
hamiltonians	0 3
wide	85.6 235.4
occuring	7.32 14.68
familiar	62.3 31.7
sub-classes	4.92 0.08
longest	19.76 17.24
compute	573 0
evolution	104.1 82.9
covering	45 0
outperform	0 73
cyclic	0 28
yield	262.46 51.54
instan-	0.02 6.98
common	355.48 178.52
plexity	30 0
monochromatic	0 4
computed	457.6 151.4
exists	324 0
learnable	24 0
de-	251.14 98.86
neous	0 10
com-	362.98 150.02
enhanced	0.02 77.98
best	645.78 99.22
polyhedral	8 0
permuted	9.9 0.1
capacity	121.92 64.08
interacting	0 57
review	132.6 88.4
functionals	18.9 0.1
topmost	0 4
symmetric	234.94 0.06
favor	38.74 31.26
simplest	167.6 42.4
probably	83.42 76.58
ire	26 0
restricting	54 0
responses	0 284
nature	143.4 314.6
densely	3.7 18.3
jointly	53 0
article	37 0
wz	4.98 0.02
wx	22 0
faced	40 0
conclusions	262.88 241.12
against	172.86 129.14
concentrate	82 0
exceeds	2.42 110.58
argue	80.18 0.82
generalisation	55.52 0.48
overview	0 88
carlo	118 0
regulated	4.38 5.62
path	103.28 104.72
polynomial	166 0
throughout	65.04 118.96
unusual	0 38
discriminant	74 0
strategy	226.84 4.16
far	335.34 121.66
sical	0 10
contribute	0.12 133.88
deeper	0.02 34.98
precision	70.38 54.62
neighbour	11.94 0.06
maps	104.62 192.38
understand	0 200
fl	55 0
instructive	0.22 12.78
subsets	130 0
straints	0 14
choices	148 0
bounds	207 0
taking	386.84 0.16
jpl	4.94 0.06
quired	0 20
tions	268.38 118.62
hardware	0 168
bias	209 92
dual	73.1 1.9
aspects	0 243
ric	19 0
set-	9.98 0.02
wherein	18.96 0.04
some-	13 0
potentially	117.36 56.64
arguments	98.82 0.18
status	35 0
complemented	9 0
np-complete	20.98 0.02
reverts	0.04 3.96
trajectories	95.64 55.36
interconnections	0.28 47.72
computa-	45.34 26.66
sults	29 0
con-	402.6 231.4
prescribed	0.54 31.46
least	519.46 109.54
programs	44.54 1.46
macro	0.24 3.76
spent	27.64 8.36
sets	598.14 53.86
firstly	9.94 0.06
termination	12.16 24.84
realised	10 0
gates	64 0
unsolvable	3.68 0.32
quoted	13 0
among	193.02 278.98
identically	46 0
trigonometric	10.92 0.08
appli-	41.24 0.76
human	0 384
readers	16.96 0.04
reasons	123.98 0.02
complements	9 0
structural	88.16 55.84
march	29 37
around	230.32 240.68
capacities	18.16 3.84
indexed	56.96 0.04
private	0 18
occurring	0.02 100.98
flexibility	0.02 91.98
yields	404 0
terminology	28 0
lends	0.04 18.96
parity	54 0
formulas	26.98 0.02
pierre	21.82 0.18
munications	10.98 0.02
mirror	0 33
classes	368 0
ourselves	0.06 68.94
gross	0 26
though	262.3 159.7
fox	0.02 7.98
instantaneous	4.1 97.9
physiology	0 73
mutation	8.68 4.32
n-tuples	5 0
propagating	18.8 43.2
demonstrated	121.68 269.32
limitations	75.06 76.94
wt	56.98 0.02
inter-	5.1 127.9
siftcation	20 0
architectural	0 47
polyno-	14 0
earlier	0 246
oo	141 0
depths	0 13
extension	270 0
freedom	122.96 0.04
theorems	60 0
acm	64 0
regular	104.16 45.84
ensure	213 0
spins	13 0
glasses	0 9
processor	0 87
homogeneous	50.46 22.54
unbounded	30.98 0.02
functional	115.62 233.38
lb	0 83
remarks	48 0
determine	378.66 229.34
anatomical	0 70
leaxning	5 0
rows	115 0
additional	382.6 242.4
noticed	37 0
strict	53.98 0.02
quadratic	232 0
contiguous	0 27
lowest	140 0
elsewhere	0.82 90.18
governs	0 23
relaxed	0.18 30.82
so-	20 0
hear	0 9
highest	2.48 206.52
considerable	114.58 66.42
hd	0 3
absent	14.36 9.64
made	442.66 274.34
versions	174.44 2.56
represent	302.82 427.18
projecting	0 64
ui	54 0
milliseconds	0 32
computable	17.3 9.7
ganglion	0 55
addison	0.1 26.9
deep	0.18 50.82
evidence	0.06 318.94
et	461.12 436.88
lifetime	0 15
exist	226.6 66.4
proofs	87 0
amounts	144 0
whereas	222.58 136.42
edwards	0 9
depth	0 133
outer-product	12 0
caltech	0 43
borne	13.98 0.02
arithmetic	0 48
concurrent	0.16 22.84
invested	0.32 10.68
ising	16.64 0.36
proceeding	5.26 35.74
tradeoff	66.98 0.02
volumes	10.5 6.5
broad	0.06 132.94
tech-	92.78 0.22
partial	239 0
expressions	109.96 0.04
di-	52.42 26.58
paris	17.96 0.04
tq	9 0
tween	0 99
tm	81 0
tj	0.02 52.98
continues	0 79
corre-	119.56 2.44
bottleneck	0 21
dis-	205.1 48.9
barbara	7.84 0.16
round	0 28
deriva-	15.98 0.02
log-likelihood	83 0
targets	0.04 159.96
advantageous	57 0
exam-	85 0
bird	0 9
mp	9 0
snowbird	2.66 2.34
interpret	0 110
thirty	21.94 0.06
difficulty	194.36 0.64
experience	52.66 80.34
diagnosed	0 8
involves	212.58 148.42
wid	0 4
santa	66.96 0.04
perceptron	175 0
probabilities	361.94 0.06
predictions	190.16 96.84
generate	226.36 272.64
sort	0 120
sponds	27 0
surprisingly	51.88 0.12
ma	116.6 114.4
wescon	14 0
univer-	0 31
predict	281.98 88.02
numerator	21.98 0.02
varies	0 151
widespread	0 29
advice	0 24
lab	58 0
ently	0.22 5.78
indeed	193.14 0.86
vary	70.36 159.64
nets	245.96 0.04
actually	269.9 99.1
symptoms	7 0
defining	190.92 0.08
us-	32.98 24.02
adequately	0.1 38.9
furthermore	69.88 0.12
rational	40.86 0.14
formula	113 0
achieving	75.68 14.32
ory	0 39
frank	0.18 16.82
clarify	28.98 0.02
reason	245.94 0.06
base	74.3 77.7
advantages	185.2 80.8
bayes	119 0
log-	23.58 0.42
likelihood	377.92 0.08
inher-	5.92 0.08
starts	171.9 0.1
variables	496 0
intuitively	56 0
tributed	0 29
wilczek	5.96 0.04
little	167.4 191.6
jet	0.06 35.94
be-	0 205
intermediate	72.84 128.16
john	212.88 88.12
simulate	0.04 115.96
symptom	3 0
maximizing	175 0
rected	6 0
appealing	55 0
determined	368.12 326.88
enforced	27.8 0.2
illness	3.96 0.04
i-th	72 0
constrained	261 0
ex-	197.92 93.08
able	449.44 256.56
fitting	166.96 0.04
normal	171.78 153.22
hoff	11 0
probabilistic	291.98 0.02
medical	44.74 79.26
disease	21.92 0.08
propulsion	32.3 0.7
constrain	0 78
text	0 113
minimizing	294.98 0.02
spite	64 0
integrate	0 129
dj	22.5 3.5
ad-hoc	0.02 12.98
consisting	216.36 113.64
logistic	97.76 0.24
sonar	0 23
straight-	0 17
constructing	142 0
ary	5.42 10.58
us	667.26 72.74
expert	109.96 0.04
patients	0.02 36.98
tend	75.62 174.38
closed	138 0
conceptual	0.02 43.98
numerous	35.48 58.52
darpa	0.32 60.68
however	234.76 33.24
super-	24.82 0.18
context	380 0
puted	0 28
j-th	33 0
ized	37.36 4.64
maximize	234.98 0.02
ately	6 0
pp	51.28 31.72
analogies	0.12 9.88
interest	275.26 78.74
baum	36.94 0.06
covariance	255.94 0.06
folklore	0 4
bayesian	268 0
reliable	0.22 161.78
vol	62.28 13.72
vi	92 0
vj	36 0
sity	43 0
experts	99.96 0.04
lacking	23.88 0.12
propaga-	11.7 0.3
fairly	97.68 83.32
moment	67 0
frequently	81.76 57.24
obstacles	0 24
finds	175.96 0.04
researchers	70.26 73.74
accurate	226.94 84.06
world	182.02 102.98
pasadena	3.84 5.16
tests	115.7 66.3
putative	0 15
vised	22 0
immediately	115.8 50.2
massively	0 56
cognitiva	3.88 1.12
success	189 0
informa-	0 94
serves	0 129
neuronal	0.06 204.94
alternatively	33.98 0.02
ob-	121 0
considering	263.98 0.02
ple	72 0
mcgraw	4.98 0.02
relating	0 75
discussed	283.78 157.22
slightly	209.82 124.18
cambridge	188.98 0.02
nsf	106.84 53.16
accounts	0.02 91.98
anderson	0 61
forward	195.64 98.36
subsequent	26.26 203.74
questionable	0 13
bottlenecks	2.12 3.88
fabricate	0.04 5.96
ut	43 0
diagnose	0 12
associated	356.96 219.04
eric	67 0
generally	242.76 122.24
preceding	92.38 43.62
in-	167.72 289.28
describing	79.6 91.4
curve	128.7 185.3
nasa	36 0
diagnosis	39 0
neighbors	0 110
alternatives	41 0
four	149.94 484.06
centers	49.48 65.52
localized	0.02 110.98
patches	21 40
acting	25 50
heterogeneity	0 6
cytochrome	0 3
alternating	0 61
puffs	0 3
arrayed	0.02 4.98
presently	0.02 44.98
broadly	0.06 43.94
orthogonal	123 0
orientations	0 67
cellular	0 66
mixing	87 0
monkeys	0 38
neighbor-	13 0
altering	35.18 0.82
try	186.98 0.02
insights	0.4 68.6
millimeters	0 4
neighborhood	134.4 0.6
consistent	176.62 194.38
located	0.04 158.96
rate	415.22 373.78
swindale	1.84 4.16
tangential	0 12
qualitatively	5.42 117.58
interpuff	0.14 0.86
index	202 0
cell	0.04 336.96
scientists	0 14
increasing	230.62 204.38
ever	78 0
slabs	0 6
satisfy	214.98 0.02
centric	0 2
spacing	7.46 33.54
hundreds	0.02 51.98
tracks	0 31
paral-	0.02 9.98
reversals	3.2 0.8
great	114 84
tant	19.24 14.76
commonly	167 0
published	74.12 14.88
usually	402.44 59.56
studies	0 367
elongated	0 19
manage	20 0
brought	0.1 45.9
sys	3.12 0.88
clockwise	0.04 14.96
army	27 0
distributing	0 15
themselves	0.2 146.8
reflects	66.02 102.98
separated	0 155
flat	0.04 43.96
mitchison	0 10
opposing	0 19
pub-	14.76 2.24
architectures	152.88 122.12
elec-	0.4 17.6
organizations	0 7
account	123.58 288.42
permits	78 0
originally	104 0
remain	100.48 133.52
tissue	0.02 26.98
publications	6 0
sinusoidal	0 49
indicated	0.02 226.98
brown	0.1 60.9
atten-	0.02 7.98
indicates	182.3 257.7
advancing	0.02 5.98
narrowly	0 7
sixties	5 0
iso-orientation	0.02 8.98
hyper-	27.56 3.44
description	236.02 150.98
communicating	0.06 20.94
singularities	23.98 0.02
collection	159.24 13.76
millimeter	0 3
piece-	0 5
produce	185.94 371.06
preferred	0.02 127.98
horizontal	0.02 251.98
derives	44.96 0.04
transposed	0 6
resemble	0.08 38.92
light	0.02 196.98
checkerboard	0 4
typical	205 242
six	0 196
reversal	0.02 38.98
circumscribed	0 5
concentric	0 12
perfect	88.4 51.6
horizontally	0 35
rapidly	0 173
fit	304.9 5.1
encounter	0 26
constitutes	54.86 22.14
derivative	255.74 2.26
histological	0 4
deformation	11.26 4.74
finer	0.14 42.86
centtic	0.3 0.7
reflected	0 89
records	0 39
effects	0.04 424.96
rotation	0 112
smoothness	94 0
notable	20 0
hereafter	0 11
afferents	0.02 28.98
realistic	0 186
braitenberg	0 8
baxter	10.96 0.04
wheel	0 5
significantly	350.38 96.62
fre-	0 42
map	165.96 215.04
series	261.04 143.96
measurement	0 127
deals	0 51
contained	0 242
daniel	0 31
asymmetries	0 5
orien-	0 16
organiza-	0 12
discontinuity	41 0
recordings	0.06 95.94
abnormally	0.02 5.98
members	96.98 0.02
orientation-sensitive	0 2
distribu-	82 0
orienta-	0 18
exhibited	0.18 63.82
stripe	0 9
constantly	0 28
striking	0 50
primary	0 235
spontaneously	0 21
enlarged	0 16
changing	142.24 163.76
carry	65.64 44.36
hypercolumns	0.02 3.98
posi-	0 35
differ	101.6 96.4
two-	52.98 0.02
monkey	0 65
horizon-	0 7
perfectly	0.02 79.98
ranging	0.02 104.98
pare	15 0
relationship	129.88 189.12
eliminated	30.16 46.84
population	0.02 155.98
distance	386.96 160.04
accordance	0 60
ballard	0 20
drift	0.02 35.98
newsome	0 10
hubel	0.1 22.9
recording	0 99
wiesel	0 20
bauer	7 0
providing	94.14 167.86
exhibit	0.06 211.94
turned	0.02 102.98
locations	0.12 228.88
quency	0 26
hexagonal	0 10
slab	0.04 4.96
traditionally	0 24
angle	0 151
violates	12 0
field	49.8 467.2
tradi-	10 0
investigations	0 56
bruce	0 13
react	0 14
contain	0.06 312.94
topographic	0 69
neighborhoods	23.62 1.38
neighboring	0 181
clear	283.04 117.96
implications	3.76 85.24
cortex	0.02 198.98
nonspecific	0 7
slope	2.44 95.56
spaced	1.1 73.9
phenomenon	0.02 104.98
sys-	0 152
spaces	130.98 0.02
striate	0 56
afferent	0.02 56.98
retinotopy	0.02 5.98
giant	0 15
topological	0 51
postulated	16.66 8.34
sensitivities	0.02 11.98
tations	0.14 36.86
regularly	0 25
linsker	0 27
